Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
click,Chrome 65.0.3325.181,Click on Submit,2018-03-26 22:22:29,2018-03-26 22:22:29,0.297s,PASSED
verifyElementText,Chrome 65.0.3325.181,Compare Fibonacci output with expected value,2018-03-26 22:22:29,2018-03-26 22:22:29,0.059s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-03-26 22:22:29,2018-03-26 22:22:30,0.686s,PASSED
,,,,,,
Test Cases/Fibonacci Page/Fibonacci - Direct,Chrome 65.0.3325.181,Access Fibonacci link directly,2018-03-26 22:22:30,2018-03-26 22:22:35,4.605s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-03-26 22:22:30,2018-03-26 22:22:32,2.086s,PASSED
navigateToUrl,Chrome 65.0.3325.181,Navigate to Fibonacci page directly,2018-03-26 22:22:32,2018-03-26 22:22:34,1.218s,PASSED
setText,Chrome 65.0.3325.181,Enter input value by passing in variable defined on 'Variable' tab,2018-03-26 22:22:34,2018-03-26 22:22:34,0.150s,PASSED
click,Chrome 65.0.3325.181,Click on Submit,2018-03-26 22:22:34,2018-03-26 22:22:34,0.146s,PASSED
verifyElementText,Chrome 65.0.3325.181,Compare Fibonacci output with expected value,2018-03-26 22:22:34,2018-03-26 22:22:34,0.055s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-03-26 22:22:34,2018-03-26 22:22:35,0.692s,PASSED
,,,,,,
Test Cases/Hello Page/Hello - Direct,Chrome 65.0.3325.181,Access Hello link directly,2018-03-26 22:22:35,2018-03-26 22:22:39,4.540s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-03-26 22:22:35,2018-03-26 22:22:37,2.536s,PASSED
navigateToUrl,Chrome 65.0.3325.181,Navigate to Hello page,2018-03-26 22:22:37,2018-03-26 22:22:38,0.925s,PASSED
verifyElementText,Chrome 65.0.3325.181,Compare expected output to variable defined,2018-03-26 22:22:38,2018-03-26 22:22:39,0.095s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-03-26 22:22:39,2018-03-26 22:22:39,0.753s,PASSED
,,,,,,
Test Cases/Factorial Page/Factorial - Exception,Chrome 65.0.3325.181,Exception Test Factorial page,2018-03-26 22:22:39,2018-03-26 22:22:56,16.322s,FAILED
verifyElementNotPresent,Chrome 65.0.3325.181,Internal Server Error will occur at this step,2018-03-26 22:22:40,2018-03-26 22:22:40,0.015s,FAILED
Statement - data = com.kms.katalon.core.testdata.TestDataFactory.findTestData(ExceptionTestData),Chrome 65.0.3325.181,,2018-03-26 22:22:40,2018-03-26 22:22:40,0.035s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-03-26 22:22:40,2018-03-26 22:22:42,2.306s,PASSED
navigateToUrl,Chrome 65.0.3325.181,Navigate to Factorial link directly,2018-03-26 22:22:42,2018-03-26 22:22:44,2.114s,PASSED
click,Chrome 65.0.3325.181,Click on Submit,2018-03-26 22:22:44,2018-03-26 22:22:44,0.279s,PASSED
Statement - For (def index : (0..(data.getRowNumbers() - 1))),Chrome 65.0.3325.181,Loop,2018-03-26 22:22:44,2018-03-26 22:22:55,10.646s,FAILED
closeBrowser,Chrome 65.0.3325.181,,2018-03-26 22:22:55,2018-03-26 22:22:56,0.682s,PASSED
,,,,,,
